SL NO,CAT,COHORT,COURSE CODE,COURSE TITLE,SEM
35,PEC-1,E02,24AVI3102,AI DRIVEN VIDEO PROCESSING,ODD
36,PEC-1,E02,24ALT3101,APPLIED MACHINE LEARNING FOR TEXT ANALYSIS,ODD
37,PEC-1,E02,24ALT3108,MULTIMODEL INFORMATION PROCESSING,ODD
38,PEC-1,E05,24CEC3101,CLOUD INFRASTRUCTURE AND SERVICES,ODD
39,PEC-1,E05,24CID3101,CLOUD INFRASTRUCTURE ENGINEERING,ODD
40,PEC-1,E09,24CSB3101,CRYPT ANALYSIS AND CYBER DEFENCE,ODD
41,PEC-1,E11,24DEA3101,FUNDAMENTALS OF DATA ENGINEERING,ODD
42,PEC-1,E11,24DSB3101,DATA ANALYTICS AND VISUALIZATION,ODD
43,PEC-1,E02,24GAM3101, NATURAL LANGUAGE PROCESSING AND APPLICATIONS,ODD
44,PEC-1,ALL,24RAN3101,"ROBOT MOTION PLANNING, DYNAMICS AND CONTROL",ODD
45,PEC-1,ALL,24RAN3102,ADVANCED ROBOTICS,ODD
46,PEC-1,E02,24GMI3101,PRINCIPLES OF DEEP NEURAL COMPUTATION,ODD
47,PEC-1,E11,24DSE3101,DATA ANALYTICS & VISUALIZATION,ODD
48,PEC-1,E27,24CND3101,CLOUD-NATIVE APPLICATION DEVELOPMENT & CONTAINER ORCHESTRATION (CNAD),ODD
49,PEC-1,E05,24CAC3101,GPU PROGRAMMING & HARDWARE ACCELERATION FOR AI & HPC,ODD
50,PEC-1,E09,24CTI3102,MALWARE ANALYSIS & REVERSE ENGINEERING,ODD
51,PEC-1,E17,24GDU3101,PROGRAMMING FOR GAME DEVELOPMENT,ODD
52,HFC,E05,24IN3103R,REAL-TIME OPERATING SYSTEMS,ODD
53,HFC,E02,24AD3105,DEEP LEARNING,ODD
